"id_tipo_ocorrencia","id_grupo","nm_tipo_ocorrencia","desc_tecla_atalho","icone","ordem","visivel"
48,9,"VERTICAL ESTADO",NULL,NULL,4,"S"
49,9,"VERTICAL CLASSIFIC.",NULL,NULL,5,"S"
50,9,"DEFENSAS CLASSIFIC.",NULL,NULL,6,"S"
37,9,"ILUMINACAO","",NULL,10,"S"
82,5,"PAVIMENTO","p",NULL,20,"S"
61,10,"DEGRAU","",NULL,5,"S"
3,5,"FISSURA","q",NULL,1,"S"
4,5,"FC2","w",NULL,2,"S"
51,9,"DEFENSAS DEFEITO","y",NULL,8,"S"
54,9,"LOCALIZAÇÂO DISP",NULL,NULL,7,"S"
36,9,"SEMÁF.","l",NULL,12,"S"
63,9,"FAIXA EIXO",NULL,NULL,1,"S"
33,9,"LOMBADA","k",NULL,9,"S"
34,9,"BARR. ELETR","j",NULL,11,"S"
64,9,"FAIXA PEDESTRE",NULL,NULL,13,"S"
65,9,"POSTOS",NULL,NULL,14,"S"
66,9,"VEGETAÇÃO",NULL,NULL,15,"S"
46,9,"HORIZONTAL EIXO",NULL,NULL,2,"S"
47,9,"HORIZONTAL BORDA",NULL,NULL,3,"S"
6,5,"FC3","e",NULL,3,"S"
7,5,"AFUNDAMENTO","r",NULL,4,"S"
8,5,"PANELA","t",NULL,5,"S"
9,5,"REMENDO","y",NULL,6,"S"
10,5,"EXSUDACAO","u",NULL,7,"S"
11,5,"ESCORREGAMENTO","i",NULL,8,"S"
12,5,"DESGASTE","o",NULL,9,"S"
13,5,"QUEBRA_BORDO","a",NULL,10,"S"
18,5,"OBRAS","k",NULL,17,"S"
25,8,"DEGRAU_ALTO","y",NULL,7,"S"
26,8,"DEGRAU_BAIXO","u",NULL,8,"S"
30,8,"SECAO","e",NULL,3,"S"
52,5,"SEGREGAÇÃO","s",NULL,11,"S"
53,5,"SEL TRINCA","d",NULL,12,"S"
84,10,"SENT ACOSTAMENTO",NULL,NULL,1,"S"
38,8,"PL. PROP.","a",NULL,11,"S"
39,8,"CONSTR.","s",NULL,12,"S"
40,8,"VEGET.","d",NULL,13,"S"
41,8,"POSTOS","f",NULL,14,"S"
42,8,"ACAMP S.T.","g",NULL,15,"S"
43,8,"AMB. EROSÃO","h",NULL,16,"S"
55,10,"CONDIÇÃO",NULL,NULL,2,"S"
75,10,"SENT. MEIO FIO",NULL,NULL,6,"S"
74,10,"COND. MEIO FIO",NULL,NULL,7,"S"
78,10,"SENT. SARJETA",NULL,NULL,8,"S"
77,10,"COND. SARJETA",NULL,NULL,9,"S"
68,10,"LARGURA",NULL,NULL,3,"S"
67,10," TIPO PAVIMENTO",NULL,NULL,4,"S"
14,11,"CBUQ","f",NULL,13,"N"
15,11,"MICRO","g",NULL,14,"N"
16,11,"TS","h",NULL,15,"N"
69,5,"OAE",NULL,NULL,19,"S"
17,11,"CONCRETO","j",NULL,16,"N"
44,11,"OUTROS","l",NULL,18,"N"
73,11,"M FIO",NULL,NULL,24,"N"
76,11,"SARJETA",NULL,NULL,27,"N"
24,11,"EROSAO","y",NULL,6,"S"
79,12,"SEÇÃO ESQUERDA",NULL,NULL,1,"S"
90,12,"SEÇÃO DIREITA",NULL,NULL,2,"S"
80,12,"TIPO SUPERF.",NULL,NULL,3,"S"
70,12,"CANTEIRO CENTRAL",NULL,NULL,4,"S"
28,12,"NR_FX",NULL,NULL,5,"S"
81,12,"MULTIFAIXA ESQUERDA",NULL,NULL,6,"S"
91,12,"MULTIFAIXA DIREITA",NULL,NULL,7,"S"
32,12,"TRAV URB","",NULL,8,"S"
31,12,"VIAS LATERAIS",NULL,NULL,9,"S"
71,12,"INTERCESSÕES",NULL,NULL,10,"S"
72,12,"CONSTRUÇÃO",NULL,NULL,11,"S"
83,12,"EROSÃO",NULL,NULL,12,"S"
92,12,"PARADA ÔNIBUS",NULL,NULL,13,"S"
93,12,"ACESSO",NULL,NULL,14,"S"
